,open,high,low,close,adj close,volume
2019-08-15,203.46,205.14,199.67,201.74,49.1200103653763,27883363.0
2019-08-16,204.28,207.16,203.84,206.5,50.278983545406,28813624.0
2019-08-19,210.62,212.73,210.03,210.35,51.2163883233712,24431915.0
2019-08-20,210.88,213.35,210.32,210.36,51.2188231409763,26919529.0
2019-08-21,212.99,213.65,211.6,212.64,51.7739615549401,21564747.0
2019-08-22,213.19,214.44,210.75,212.46,51.7301348380482,22267819.0
2019-08-23,209.43,212.05,201.0,202.64,49.3391439498357,46882843.0
2019-08-26,205.86,207.19,205.06,206.49,50.2765487278009,26066130.0
2019-08-27,207.86,208.55,203.53,204.16,49.7092362258115,25897344.0
2019-08-28,204.1,205.72,203.32,205.53,50.0428062377108,15957632.0
2019-08-29,208.5,209.32,206.66,209.01,50.8901227642872,21007652.0
2019-08-30,210.16,210.45,207.2,208.74,50.8243826889494,21162561.0
2019-09-03,206.43,206.98,204.22,205.7,50.0841981369976,20059574.0
2019-09-04,208.39,209.48,207.32,209.19,50.9339494811791,19216820.0
2019-09-05,212.0,213.97,211.51,213.28,51.9297898816668,23946984.0
2019-09-06,214.05,214.42,212.51,213.26,51.9249202464566,19362294.0
2019-09-09,214.84,216.44,211.07,214.17,52.1464886485211,27309401.0
2019-09-10,213.86,216.78,211.71,216.7,52.7624975026125,31777931.0
2019-09-11,218.07,223.71,217.73,223.59,54.4400868325294,44289646.0
2019-09-12,224.8,226.42,222.86,223.09,54.3183459522742,32226669.0
2019-09-13,220.0,220.79,217.02,218.75,53.2616351116589,39763296.0
2019-09-16,217.73,220.13,217.56,219.9,53.5416391362459,21158141.0
2019-09-17,219.96,220.82,219.12,220.7,53.7364245446542,18386468.0
2019-09-18,221.06,222.85,219.44,222.77,54.2404317889108,25643093.0
2019-09-19,222.01,223.76,220.37,220.96,53.7997298023869,22187876.0
2019-09-20,221.38,222.56,217.47,217.73,53.0132837159382,57977094.0
2019-09-23,218.95,219.84,217.65,218.72,53.2543306588436,19419648.0
2019-09-24,221.03,222.49,217.19,217.68,53.0011096279127,31434367.0
